%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1659928716714162115,62983,1659928716714162115,imu,-0.0098630718565,-0.00565220739859,0.540323680802,0.841380468237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00155373151213,-0.00202449072259,-7.4758308686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015802,-0.208606,9.787839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716719327202,62984,1659928716719327202,imu,-0.00985987503698,-0.00566497462942,0.540320182973,0.841382666091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000562471000721,-0.000441796700248,-0.00155473130783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010886,-0.227657,9.785327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716724211944,62985,1659928716724211944,imu,-0.00983241830881,-0.0056701784857,0.540318172415,0.841384243485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095571904545,0.000777680920216,-0.000938436081162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030285,-0.187249,9.792689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716729198654,62986,1659928716729198654,imu,-0.00984249497324,-0.00568515172229,0.540317896615,0.841384201741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00054843357119,0.00200244986919,-3.04843614878e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013063,-0.251468,9.775584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716734310731,62987,1659928716734310731,imu,-0.00983351141965,-0.00567492338384,0.540317192984,0.841384827688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00336661202547,0.00195904720876,-0.000335357613833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008121,-0.21315,9.778422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716739847446,62988,1659928716739847446,imu,-0.0098305845603,-0.00567083304758,0.54032338667,0.841380911999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25517155853e-05,0.00378242651381,0.00272467764965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006286,-0.213441,9.802156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716744199294,62989,1659928716744199294,imu,-0.00983013411261,-0.00566687478314,0.540325537014,0.841379563006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000620446282066,0.000370803486481,0.00115913746396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015084,-0.220768,9.837976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716749154506,62990,1659928716749154506,imu,-0.00982389835533,-0.00566307359455,0.540326077615,0.841379314262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000888543738989,0.000998755066121,0.000258743974523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005512,-0.203935,9.816609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716754336844,62991,1659928716754336844,imu,-0.00983980251914,-0.00565049440604,0.540326755021,0.841378777964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00148476046261,0.000377911527507,0.000256329322374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046317,-0.227373,9.79523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716761008630,62992,1659928716761008630,imu,-0.00984854335605,-0.00563558819661,0.540328404437,0.841377716426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000862270719312,0.00129006217959,0.000557578459105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036575,-0.215736,9.823858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716764164785,62993,1659928716764164785,imu,-0.00986110091517,-0.00562710173928,0.540327265348,0.841378357659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000319251467932,-0.00333016785187,-0.00100006190608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048812,-0.234401,9.78089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716769307173,62994,1659928716769307173,imu,-0.00984722301073,-0.00560988383845,0.540329958455,0.841376905672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00123796717143,-0.000859818083826,0.00113303174066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02946,-0.18663,9.764484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716774739544,62995,1659928716774739544,imu,-0.0098722596963,-0.00560938157476,0.540333367696,0.841374426211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00389067049505,-0.0014347236145,0.00145891369551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046497,-0.241539,9.77605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716779218365,62996,1659928716779218365,imu,-0.00986148282763,-0.00559768510205,0.540335664551,0.841373155438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000542034668484,-0.00113240857095,0.00111896551538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024706,-0.189048,9.764433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716784182586,62997,1659928716784182586,imu,-0.00987361833542,-0.00560207143551,0.540335513331,0.841373081035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000550281820638,-0.00295620970552,-0.000112692044987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032047,-0.244338,9.814059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659928716789251361,62998,1659928716789251361,imu,-0.00987667341093,-0.0056099472069,0.540336013568,0.841372671446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00175069819207,-0.00353587939302,0.000195029185712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019895,-0.22792,9.84033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
