%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1659939421407044774,147842,1659939421407044774,imu,-0.0138487440937,-0.00506061563363,-0.281092384944,0.959567440873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00196204341617,-0.000159865447982,-0.00217880979825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175446,-0.219399,9.800092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421412182912,147843,1659939421412182912,imu,-0.0138350726708,-0.0050639334094,-0.28109416983,0.959567097722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000469588184857,0.000121700948211,-0.00066501808802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170741,-0.207391,9.795456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421417112928,147844,1659939421417112928,imu,-0.0138279550202,-0.00508323393451,-0.281095211681,0.95956679307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135925817839,-0.00142475553183,-0.000375082643584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196907,-0.21468,9.790461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421422047345,147845,1659939421422047345,imu,-0.0138147986309,-0.00509237572191,-0.281096195563,0.959566645882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000140748575028,-0.00171000071657,-0.000364178410676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173053,-0.202411,9.769272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421427174587,147846,1659939421427174587,imu,-0.0138202695216,-0.00509438569371,-0.281093369678,0.959567384246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000463352389198,0.00167493688073,0.00117065521244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187212,-0.243371,9.802199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421432330743,147847,1659939421432330743,imu,-0.0138085451729,-0.00508703819505,-0.281097308725,0.959566438112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00136007792716,0.000461305113554,-0.00155141484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154104,-0.207405,9.809862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421437063184,147848,1659939421437063184,imu,-0.0138153394926,-0.00508506081563,-0.2810980548,0.959566132238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00104081589065,0.000752850001873,-0.000329134851136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175293,-0.240888,9.799912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421442260475,147849,1659939421442260475,imu,-0.0138026287558,-0.00507325518788,-0.281098200456,0.959566334977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000483142493715,0.00227012019981,-2.45364928117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153977,-0.216835,9.795485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421447150963,147850,1659939421447150963,imu,-0.0137924053144,-0.0050712143078,-0.281099722775,0.959566046813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00166586293696,-0.000215046147072,-0.000655328707043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161157,-0.221776,9.809696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939421452132730,147851,1659939421452132730,imu,-0.0137943554839,-0.00506863911817,-0.281095500488,0.959567269273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00164626983735,0.0010198919752,0.00179993583228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173081,-0.229115,9.821473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
