%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1659939461186396727,165212,1659939461186396727,imu,-0.011416,-0.014398,-0.006855,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149414146605,0.000532185795518,-0.000787597278255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244627,-0.239221,9.835214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461190696374,165213,1659939461190696374,imu,-0.011416,-0.014396,-0.006858,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000317231044842,0.00145694849969,0.00167164145098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287671,-0.205806,9.804238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461195636167,165214,1659939461195636167,imu,-0.011415,-0.014392,-0.006855,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000266738669582,-0.00226608314091,0.000725062131156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28491,-0.255891,9.799072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461200584340,165215,1659939461200584340,imu,-0.011417,-0.014397,-0.006853,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000634863515413,-0.000394706210339,0.000441201781612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299465,-0.210457,9.780294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461205711860,165216,1659939461205711860,imu,-0.011421,-0.014399,-0.006853,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00123443647335,0.00116415206437,0.000152681402964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275435,-0.253543,9.811067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461210687341,165217,1659939461210687341,imu,-0.011422,-0.014391,-0.006853,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00119225186533,-0.000103218771963,0.00134350209831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266153,-0.203142,9.787717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461215602760,165218,1659939461215602760,imu,-0.011417,-0.014386,-0.006854,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211998162923,0.0042636473764,-0.00198386340086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282548,-0.24139,9.780145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461220740756,165219,1659939461220740756,imu,-0.011417,-0.01438,-0.006855,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00120134503073,0.00176449296718,0.000747751411432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287278,-0.258294,9.799037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461225678523,165220,1659939461225678523,imu,-0.011418,-0.014376,-0.006853,0.999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00122597162648,0.00208629677466,0.00137860066957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311331,-0.227366,9.794374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659939461230664060,165221,1659939461230664060,imu,-0.011419,-0.01437,-0.006853,0.999808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00120705225739,0.00206329333512,0.00227386730938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24198,-0.258046,9.804097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
